Key,Course Code,Course Name,Year,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,Appropriateness Of Assessment Tools,Course Suggestions,Like,Dislike,Hosting Tools,Lecture Rating,Text Book Availability
64ca9c680086a67bfe057a80,22CS270,Computer systems lab,2022-23,5,5,5,5,5,5,5,5,appropriate,"Two model exams were conducted for this course which we felt difficult due to lack of time as we need to complete our record, take printouts, workout the codes etc. Meanwhile we were also need to concentrate on other subjects too.",Concepts(Linux based concepts),Lots of concepts,good,good,available
64ca9cfc0086a67bfe057a82,22CS280,Programming lab ,2022-23,5,5,5,5,5,5,5,5,appropriate,"Two model exams were conducted for this course which we felt difficult due to lack of time as we need to complete our record, take printouts, workout the codes etc. Meanwhile we were also need to concentrate on other subjects too. And the questions during model exams and terminal practical exams were of practical application and which were not taught/discussed during lecture hours even as an example",Concepts,Not satisfied with the model exams and terminal practical exams since concepts were in application type which were not discussed during lecture hours ,good,good,available
64ca9dfe0086a67bfe057a84,22CHAA0,Environmental science ,2022-23,5,5,5,5,5,5,5,5,appropriate,Teaching was very good and especially the project presentation which we were doing throughout the semester as 4 different reviews. That was a very good experience. Our presentation skill improved a lot for each presentation. So I will definitely recommend to retain this concept of doing presentation for juniors too.,Group project presentation and faculty ,Nothing,excellent,excellent,notAvailable
64ca9e000086a67bfe057a86,22CHAA0,Environmental science ,2022-23,5,5,5,5,5,5,5,5,appropriate,Teaching was very good and especially the project presentation which we were doing throughout the semester as 4 different reviews. That was a very good experience. Our presentation skill improved a lot for each presentation. So I will definitely recommend to retain this concept of doing presentation for juniors too.,Group project presentation and faculty ,Nothing,excellent,excellent,notAvailable
64ca9ea20086a67bfe057a88,22EG170,English Lab ,2022-23,5,5,5,5,5,5,5,5,appropriate,All lab sessions were so useful and efficient. ,Concepts and all lab sessions were too good.,Nothing,excellent,excellent,available
64ca9f460086a67bfe057a8a,22PH180,Physics lab,2022-23,5,5,5,5,5,5,5,5,appropriate,Teaching was not done during any lab sessions. We studied ourselves and did our practical examinations. Teaching and telling about the concepts must be done.,Concepts,Concepts were not taught during any hour,good,average,notAvailable
64ca9f9e0086a67bfe057a8c,22CH190,Chemistry Lab,2022-23,5,5,5,5,5,5,5,5,appropriate,Teaching was excellent but strict.,Concepts,Lab sessions were so strict ,good,good,available
64cdd7b5a44336007a5a35b0,22CS250,System programming ,2022-2023,5,5,5,5,5,4,NA,NA,appropriate,Good content ,Highlighting the difference between windows and Linux architecture ,The boundary is vast,excellent,excellent,available
64cdd7b5a44336007a5a35b2,22CS250,System programming ,2022-2023,5,5,5,5,5,4,NA,NA,appropriate,Good content ,Highlighting the difference between windows and Linux architecture ,The boundary is vast,excellent,excellent,available
64cdd7b5a44336007a5a35b4,22CS250,System programming ,2022-2023,5,5,5,5,5,4,NA,NA,appropriate,Good content ,Highlighting the difference between windows and Linux architecture ,The boundary is vast,excellent,excellent,available
64cdd7b5a44336007a5a35b6,22CS250,System programming ,2022-2023,5,5,5,5,5,4,NA,NA,appropriate,Good content ,Highlighting the difference between windows and Linux architecture ,The boundary is vast,excellent,excellent,available
64cdd7b5a44336007a5a35b8,22CS250,System programming ,2022-2023,5,5,5,5,5,4,NA,NA,appropriate,Good content ,Highlighting the difference between windows and Linux architecture ,The boundary is vast,excellent,excellent,available
64cdd7b5a44336007a5a35ba,22CS250,System programming ,2022-2023,5,5,5,5,5,4,NA,NA,appropriate,Good content ,Highlighting the difference between windows and Linux architecture ,The boundary is vast,excellent,excellent,available
64cdd7b5a44336007a5a35bc,22CS250,System programming ,2022-2023,5,5,5,5,5,4,NA,NA,appropriate,Good content ,Highlighting the difference between windows and Linux architecture ,The boundary is vast,excellent,excellent,available
64cdd7b5a44336007a5a35be,22CS250,System programming ,2022-2023,5,5,5,5,5,4,NA,NA,appropriate,Good content ,Highlighting the difference between windows and Linux architecture ,The boundary is vast,excellent,excellent,available
64cdd7b5a44336007a5a35c0,22CS250,System programming ,2022-2023,5,5,5,5,5,4,NA,NA,appropriate,Good content ,Highlighting the difference between windows and Linux architecture ,The boundary is vast,excellent,excellent,available
64cdd7b5a44336007a5a35c2,22CS250,System programming ,2022-2023,5,5,5,5,5,4,NA,NA,appropriate,Good content ,Highlighting the difference between windows and Linux architecture ,The boundary is vast,excellent,excellent,available
64cdd7b5a44336007a5a35c4,22CS250,System programming ,2022-2023,5,5,5,5,5,4,NA,NA,appropriate,Good content ,Highlighting the difference between windows and Linux architecture ,The boundary is vast,excellent,excellent,available
64cdd7b6a44336007a5a35c6,22CS250,System programming ,2022-2023,5,5,5,5,5,4,NA,NA,appropriate,Good content ,Highlighting the difference between windows and Linux architecture ,The boundary is vast,excellent,excellent,available
64cdd849a44336007a5a35c8,22ES150,Engineering exploration ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,Introduction this course in the 1st semester helped us to gain the a better understanding of engineering ,No,excellent,excellent,notAvailable
64cdd849a44336007a5a35ca,22ES150,Engineering exploration ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,Introduction this course in the 1st semester helped us to gain the a better understanding of engineering ,No,excellent,excellent,notAvailable
64cdd849a44336007a5a35cc,22ES150,Engineering exploration ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,Introduction this course in the 1st semester helped us to gain the a better understanding of engineering ,No,excellent,excellent,notAvailable
64cdd849a44336007a5a35ce,22ES150,Engineering exploration ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,Introduction this course in the 1st semester helped us to gain the a better understanding of engineering ,No,excellent,excellent,notAvailable
64cdd849a44336007a5a35d0,22ES150,Engineering exploration ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,Introduction this course in the 1st semester helped us to gain the a better understanding of engineering ,No,excellent,excellent,notAvailable
64cdd84aa44336007a5a35d2,22ES150,Engineering exploration ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,Introduction this course in the 1st semester helped us to gain the a better understanding of engineering ,No,excellent,excellent,notAvailable
64cdd8c0a44336007a5a35d4,22CS160,Foundation of computer programming ,2022-2023,5,5,5,3,3,2,NA,NA,appropriate,No,Theory cum practical course,The past Cos were not covered fully,excellent,good,available
64cdd8c1a44336007a5a35d6,22CS160,Foundation of computer programming ,2022-2023,5,5,5,3,3,2,NA,NA,appropriate,No,Theory cum practical course,The past Cos were not covered fully,excellent,good,available
64cdd8c1a44336007a5a35d8,22CS160,Foundation of computer programming ,2022-2023,5,5,5,3,3,2,NA,NA,appropriate,No,Theory cum practical course,The past Cos were not covered fully,excellent,good,available
64cdd909a44336007a5a35da,22CS220,Electronics and Digital Systems ,2022-2023,5,5,5,4,5,5,NA,NA,appropriate,No,No,No,excellent,excellent,notAvailable
64cdd909a44336007a5a35dc,22CS220,Electronics and Digital Systems ,2022-2023,5,5,5,4,5,5,NA,NA,appropriate,No,No,No,excellent,excellent,notAvailable
64cdd99da44336007a5a35de,22CS240,Problem solving and programming ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,The methodology of delivering the content by the lecturer ,No,excellent,excellent,available
64cdd99da44336007a5a35e0,22CS240,Problem solving and programming ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,The methodology of delivering the content by the lecturer ,No,excellent,excellent,available
64cdd99da44336007a5a35e2,22CS240,Problem solving and programming ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,The methodology of delivering the content by the lecturer ,No,excellent,excellent,available
64cdd99da44336007a5a35e4,22CS240,Problem solving and programming ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,The methodology of delivering the content by the lecturer ,No,excellent,excellent,available
64cdd99da44336007a5a35e6,22CS240,Problem solving and programming ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,The methodology of delivering the content by the lecturer ,No,excellent,excellent,available
64cdda20a44336007a5a35e8,22CS230,Computer organization and architecture ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,No,Minimum time to cover the entire syllabus ,excellent,excellent,notAvailable
64cdda21a44336007a5a35ea,22CS230,Computer organization and architecture ,2022-2023,5,5,5,5,5,5,NA,NA,appropriate,No,No,Minimum time to cover the entire syllabus ,excellent,excellent,notAvailable
64ce21da86e6dcdf403b99b1,22CS210,Matrices and Linear Algebra ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,I get to learn about new topics,Nothing ,good,good,available
64ce21da86e6dcdf403b99b3,22CS210,Matrices and Linear Algebra ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,I get to learn about new topics,Nothing ,good,good,available
64ce21da86e6dcdf403b99b5,22CS210,Matrices and Linear Algebra ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,I get to learn about new topics,Nothing ,good,good,available
64ce21da86e6dcdf403b99b7,22CS210,Matrices and Linear Algebra ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,I get to learn about new topics,Nothing ,good,good,available
64ce229a86e6dcdf403b99b9,22CS220,Electronics and Digital Systems ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,Knowledge about new topics ,Nothing ,good,good,available
64ce22f386e6dcdf403b99bb,22CS230,Computer Organisation and Architecture ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,Really got a new experience from this course,Nothing ,good,good,available
64ce234686e6dcdf403b99bd,22CS240,Problem Solving and Programming ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,Teaching methods ,Nothing ,good,good,available
64ce238586e6dcdf403b99bf,22CS250,System Programming ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,Flow of course ,Nothing ,good,good,available
64ce23b886e6dcdf403b99c1,22CHAA0,Environmental science ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,Presentation part,Nothing,good,good,available
64ce242186e6dcdf403b99c3,22MA110,Calculus for Engineers ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,Python session ,Nothing ,good,good,available
64ce245b86e6dcdf403b99c5,22CS150,Engineering exploration ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,Knowledge about engineering course,Nothing,good,good,available
64ce248d86e6dcdf403b99c7,22CS160,Foundations of computer programming ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,Knowledge about new topics ,Nothing,good,good,available
64ce24c586e6dcdf403b99c9,22EG140,Technical English ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,Speaking skills,Nothing,good,good,available
64ce24f886e6dcdf403b99cb,22PH120,Physics ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,Laboratory experience ,Nothing,good,good,available
64ce252586e6dcdf403b99cd,22CH130,Chemistry ,2022-23,5,5,5,5,5,5,5,5,appropriate,Nothing ,Laboratory experience ,Nothing,good,good,available
64d9f8ae85514c0a7711c5ca,21CS580, Network Programming Lab, 2022-23, 3,3,4,3,2,3,3,4,appropriate,Nothing ,Laboratory experience ,Nothing,good,good,available
,21CS570, Database Lab, 2022-23, 3,3,4,3,2,3,3,4,appropriate,Nothing ,Laboratory experience ,Nothing,good,good,available
